record_id,year,faculty,role,digital_infrastructure_score,digital_competence_score,platform_reliability_score,digital_governance_score,process_automation_score,change_readiness_score,student_service_access_score,teaching_support_quality_score,user_satisfaction_score,processing_time_hours,error_rate_pct,high_quality_efficiency
UNMSM_DEMO_0108,2025,Faculty_12,administrative,81.9,71.16,80.41,77.21,63.93,68.48,79.23,80.27,65.26,59.8,3.34,1
UNMSM_DEMO_0109,2024,Faculty_10,student,56.57,58.53,45.49,55.55,53.47,33.38,52.56,49.68,51.3,82.39,13.32,0
UNMSM_DEMO_0110,2025,Faculty_10,student,63.92,70.57,75.79,40.78,82.13,42.54,58.05,73.82,53.33,59.99,6.53,1
UNMSM_DEMO_0111,2023,Faculty_14,manager,47.0,41.69,66.3,31.53,47.22,34.31,76.69,52.54,48.26,89.37,10.4,1
UNMSM_DEMO_0112,2025,Faculty_11,faculty,54.65,61.6,58.0,75.99,53.05,47.35,58.56,61.2,62.55,59.09,2.33,1
UNMSM_DEMO_0113,2024,Faculty_15,administrative,64.64,32.69,57.52,36.93,54.63,56.31,64.79,73.91,46.04,70.14,16.13,0
UNMSM_DEMO_0114,2024,Faculty_16,administrative,99.91,77.32,62.05,77.93,72.43,74.56,73.84,72.7,71.84,68.31,5.01,1
UNMSM_DEMO_0115,2024,Faculty_19,administrative,81.77,70.26,54.94,51.13,54.57,61.39,73.82,63.99,51.82,87.85,16.31,0
UNMSM_DEMO_0116,2024,Faculty_16,student,50.37,54.02,70.47,52.4,40.62,37.73,77.02,72.41,60.1,72.73,6.25,1
UNMSM_DEMO_0117,2022,Faculty_11,faculty,80.12,85.1,64.54,56.8,79.01,57.98,75.69,67.95,58.13,70.39,4.35,1
UNMSM_DEMO_0118,2022,Faculty_10,student,45.33,24.48,28.49,31.74,0.0,33.29,43.33,44.17,46.31,105.67,11.4,0
UNMSM_DEMO_0119,2023,Faculty_05,faculty,35.18,39.03,44.44,31.21,33.59,24.95,44.94,61.91,42.4,93.92,14.28,0
UNMSM_DEMO_0120,2022,Faculty_12,manager,70.36,62.6,60.46,54.27,53.24,56.9,65.21,67.83,69.35,94.15,6.61,1
UNMSM_DEMO_0121,2024,Faculty_03,student,50.66,58.6,59.31,44.16,50.27,57.46,60.36,55.37,42.39,91.0,7.1,0
UNMSM_DEMO_0122,2025,Faculty_19,student,74.14,62.36,74.41,61.43,78.87,50.67,60.08,73.13,49.55,70.81,2.0,1
UNMSM_DEMO_0123,2025,Faculty_17,student,44.57,48.81,43.11,29.28,31.9,41.22,62.7,55.21,39.3,118.04,15.81,0
UNMSM_DEMO_0124,2024,Faculty_03,manager,67.32,67.25,54.64,58.02,46.22,69.29,58.27,80.26,45.28,71.63,13.23,1
UNMSM_DEMO_0125,2026,Faculty_16,student,83.55,96.81,87.42,100.0,84.61,70.14,88.08,79.9,62.96,36.63,10.01,1
UNMSM_DEMO_0126,2024,Faculty_03,student,80.23,67.22,79.14,76.57,69.27,73.21,87.62,82.32,70.65,54.1,4.78,1
UNMSM_DEMO_0127,2022,Faculty_15,student,70.23,64.85,70.67,59.05,45.35,59.85,68.47,83.05,59.54,77.24,10.72,1
UNMSM_DEMO_0128,2025,Faculty_02,student,57.47,49.59,55.56,50.31,33.98,31.47,66.39,53.27,48.02,60.48,8.5,1
UNMSM_DEMO_0129,2024,Faculty_10,student,52.17,62.71,67.89,30.27,39.35,35.93,55.92,64.55,48.8,88.3,9.91,1
UNMSM_DEMO_0130,2025,Faculty_14,student,26.2,32.09,39.28,19.36,43.42,21.54,55.34,52.47,32.44,84.75,10.92,0
UNMSM_DEMO_0131,2024,Faculty_15,student,66.96,72.48,81.75,69.66,58.17,45.17,68.25,66.7,76.44,80.0,9.27,1
UNMSM_DEMO_0132,2024,Faculty_09,student,71.49,89.56,60.41,55.4,69.95,59.46,60.7,77.07,54.65,71.9,11.13,1
UNMSM_DEMO_0133,2022,Faculty_19,student,28.68,38.02,55.78,25.68,24.64,43.0,53.28,56.3,31.15,92.82,16.36,0
UNMSM_DEMO_0134,2024,Faculty_16,student,61.69,30.46,51.14,45.07,38.15,59.19,60.26,55.62,55.19,94.83,9.7,0
UNMSM_DEMO_0135,2025,Faculty_05,student,51.51,43.94,73.2,32.65,60.41,43.82,63.25,63.42,48.95,87.29,11.23,1
UNMSM_DEMO_0136,2023,Faculty_14,faculty,42.81,59.67,57.13,29.11,36.38,37.44,66.2,63.65,64.08,83.49,11.87,0
UNMSM_DEMO_0137,2025,Faculty_15,student,65.21,67.07,56.84,56.08,52.82,29.63,60.26,65.07,52.07,71.01,9.24,1
UNMSM_DEMO_0138,2022,Faculty_07,student,43.56,36.65,34.54,18.16,32.96,31.93,66.94,47.4,46.65,70.63,11.83,0
UNMSM_DEMO_0139,2023,Faculty_15,student,75.19,73.23,73.06,51.35,51.04,58.43,62.85,69.26,69.7,66.0,7.59,1
UNMSM_DEMO_0140,2024,Faculty_18,student,74.01,71.38,79.26,54.48,57.26,61.55,84.47,73.53,57.6,65.98,13.38,1
UNMSM_DEMO_0141,2026,Faculty_17,student,73.94,72.67,65.1,60.46,56.85,72.66,62.91,73.23,54.51,74.51,10.11,1
UNMSM_DEMO_0142,2023,Faculty_16,student,23.94,41.39,38.58,22.39,18.75,40.84,50.18,51.94,43.89,92.74,15.76,0
UNMSM_DEMO_0143,2023,Faculty_13,administrative,51.3,62.25,58.36,39.25,40.9,50.67,58.77,68.35,55.8,81.53,10.63,1
UNMSM_DEMO_0144,2024,Faculty_06,student,81.97,74.92,75.28,73.53,93.04,53.75,72.11,60.64,54.23,35.74,11.83,1
UNMSM_DEMO_0145,2026,Faculty_16,student,34.91,44.27,31.36,26.02,27.58,18.58,57.28,45.9,30.35,100.38,18.69,0
UNMSM_DEMO_0146,2026,Faculty_08,student,71.31,56.45,57.56,51.39,29.32,47.48,78.13,61.92,35.26,96.13,10.58,1
UNMSM_DEMO_0147,2022,Faculty_11,student,39.6,37.19,49.5,41.72,36.25,31.67,65.31,48.7,49.6,94.46,11.73,0
UNMSM_DEMO_0148,2023,Faculty_07,student,76.73,82.11,78.68,67.53,61.88,65.55,70.96,89.14,63.37,69.23,7.04,1
UNMSM_DEMO_0149,2026,Faculty_07,administrative,68.31,58.41,76.47,49.1,51.7,49.17,72.24,68.57,56.92,60.8,9.4,1
UNMSM_DEMO_0150,2022,Faculty_04,administrative,41.51,67.09,68.65,55.25,55.96,44.07,56.25,69.69,40.5,67.97,6.94,1
UNMSM_DEMO_0151,2026,Faculty_20,student,88.31,69.89,75.67,56.4,67.04,70.82,69.43,71.25,55.26,64.14,8.65,1
UNMSM_DEMO_0152,2023,Faculty_03,student,60.65,69.5,83.77,63.59,74.29,71.49,62.39,76.13,57.42,58.4,10.32,1
UNMSM_DEMO_0153,2026,Faculty_02,student,64.64,61.08,60.17,63.46,64.11,30.95,63.27,54.66,51.82,69.78,4.8,1
UNMSM_DEMO_0154,2023,Faculty_19,student,75.72,75.12,62.51,60.59,49.93,55.2,71.7,69.87,61.75,94.5,6.75,1
UNMSM_DEMO_0155,2024,Faculty_12,faculty,45.64,49.7,42.22,42.22,24.27,40.24,43.68,51.34,50.87,105.84,12.93,0
UNMSM_DEMO_0156,2025,Faculty_09,student,71.56,55.79,64.98,71.9,100.0,74.6,69.01,67.31,77.97,35.17,3.14,1
UNMSM_DEMO_0157,2022,Faculty_15,student,42.12,45.24,54.16,42.1,30.24,40.68,69.32,41.23,46.59,100.99,18.88,1
UNMSM_DEMO_0158,2024,Faculty_08,administrative,67.49,71.22,59.62,54.8,47.81,55.5,74.87,61.58,66.2,87.69,13.57,0
UNMSM_DEMO_0159,2024,Faculty_03,student,50.36,56.64,68.99,63.11,37.26,53.84,60.18,77.41,48.46,74.06,13.91,1
UNMSM_DEMO_0160,2025,Faculty_15,student,59.28,27.37,56.35,47.92,37.96,21.91,54.22,57.76,35.81,97.33,11.09,0
UNMSM_DEMO_0161,2026,Faculty_04,faculty,74.3,84.22,72.24,59.51,52.71,38.72,74.92,82.23,60.27,74.21,8.29,1
UNMSM_DEMO_0162,2025,Faculty_12,student,71.07,77.5,79.22,80.51,64.71,74.02,56.11,87.59,53.1,47.36,2.98,1
UNMSM_DEMO_0163,2024,Faculty_19,student,64.85,61.23,65.25,59.51,69.3,68.09,75.28,74.51,57.46,72.47,10.15,1
UNMSM_DEMO_0164,2024,Faculty_19,student,38.8,39.4,52.42,42.85,38.54,39.66,55.9,53.9,39.27,90.7,13.57,0
UNMSM_DEMO_0165,2024,Faculty_08,administrative,71.44,68.59,55.35,55.46,58.64,67.21,80.0,62.41,41.4,71.15,13.53,1
UNMSM_DEMO_0166,2026,Faculty_16,student,86.76,65.0,78.01,68.63,50.16,71.04,64.37,81.83,79.07,74.8,8.39,1
UNMSM_DEMO_0167,2023,Faculty_13,student,26.71,49.7,49.61,23.98,46.79,40.74,59.82,59.91,37.48,79.64,10.95,0
UNMSM_DEMO_0168,2022,Faculty_10,student,43.87,49.67,42.3,45.19,20.92,31.23,55.89,74.01,33.06,104.52,15.25,0
UNMSM_DEMO_0169,2023,Faculty_03,student,66.61,68.21,68.86,90.09,79.21,79.81,66.48,71.6,70.32,53.39,9.14,1
UNMSM_DEMO_0170,2022,Faculty_08,faculty,73.59,59.16,54.82,49.22,62.75,60.6,58.08,79.84,49.99,75.18,4.85,1
UNMSM_DEMO_0171,2022,Faculty_14,student,54.14,57.37,56.97,55.24,59.71,51.88,66.86,63.57,61.63,77.64,11.65,1
UNMSM_DEMO_0172,2022,Faculty_20,faculty,95.15,84.05,64.61,65.99,62.77,63.24,80.59,84.46,60.48,55.12,8.51,1
UNMSM_DEMO_0173,2025,Faculty_01,faculty,74.36,57.03,81.11,56.27,64.76,59.51,86.16,82.42,56.8,59.58,4.02,1
UNMSM_DEMO_0174,2025,Faculty_15,administrative,67.6,51.36,81.01,78.68,60.37,40.2,78.81,58.94,65.02,40.61,1.43,1
UNMSM_DEMO_0175,2025,Faculty_17,student,96.11,94.25,94.73,79.09,92.56,86.8,78.6,84.02,79.6,56.1,2.78,1
UNMSM_DEMO_0176,2024,Faculty_20,administrative,57.02,63.17,78.83,46.91,48.47,39.37,61.28,61.5,62.82,67.07,13.49,1
UNMSM_DEMO_0177,2025,Faculty_09,faculty,49.23,57.82,56.62,31.35,24.2,48.1,51.66,55.54,47.86,100.44,18.4,0
UNMSM_DEMO_0178,2022,Faculty_03,student,65.89,63.36,89.14,47.13,65.9,50.54,83.37,77.18,64.59,76.42,7.58,1
UNMSM_DEMO_0179,2026,Faculty_06,administrative,67.44,64.18,69.9,45.74,64.81,53.48,63.82,67.96,62.94,80.14,13.86,0
UNMSM_DEMO_0180,2024,Faculty_18,administrative,42.24,61.61,60.56,54.52,41.82,38.41,70.51,64.87,53.43,68.92,11.03,0
UNMSM_DEMO_0181,2026,Faculty_18,student,56.57,52.22,55.13,74.64,40.42,39.9,66.64,65.0,53.66,78.33,14.56,1
UNMSM_DEMO_0182,2022,Faculty_13,administrative,73.3,73.23,82.14,71.74,81.97,95.88,75.9,67.58,53.51,77.02,3.88,1
UNMSM_DEMO_0183,2024,Faculty_03,student,63.9,59.15,73.46,40.93,48.42,70.5,66.91,80.25,60.8,103.71,7.99,1
UNMSM_DEMO_0184,2025,Faculty_03,faculty,52.94,73.88,57.88,56.94,22.67,48.58,67.18,66.37,55.4,105.14,11.42,0
UNMSM_DEMO_0185,2024,Faculty_10,manager,70.02,50.81,87.23,56.81,70.39,60.88,73.69,74.02,57.6,71.14,0.2,1
UNMSM_DEMO_0186,2024,Faculty_12,student,80.7,62.91,64.17,65.79,58.29,60.19,69.13,73.19,71.11,59.43,12.96,1
UNMSM_DEMO_0187,2022,Faculty_01,administrative,57.42,35.68,58.16,44.4,42.52,61.9,68.74,70.15,38.39,94.14,9.33,1
UNMSM_DEMO_0188,2023,Faculty_14,student,71.71,61.54,57.38,51.87,45.68,48.49,66.69,64.63,69.51,80.01,8.55,1
